id,example,exampleTranslation,collocations
951,"The company improved its logistics network to reduce delivery time.","公司改善了物流网络以缩短配送时间。","logistics network=物流网络 | logistics cost=物流成本"
952,"The purchasing team is responsible for global sourcing.","采购团队负责全球寻源。","global sourcing=全球采购寻源 | sourcing strategy=采购寻源战略"
953,"Outsourcing reduced the cost of customer support.","外包降低了客户支持成本。","business outsourcing=业务外包 | outsourcing agreement=外包协议"
954,"The main contractor hired a local subcontractor.","总承包商雇用了一家当地分包商。","local subcontractor=当地分包商 | subcontractor agreement=分包协议"
955,"The supplier reduced the lead time from six weeks to four.","供应商把交付周期从六周缩短到四周。","production lead time=生产交付周期 | reduce lead time=缩短交付周期"
956,"Automatic replenishment prevents popular items from running out.","自动补货可以防止畅销商品缺货。","inventory replenishment=库存补货 | stock replenishment=库存补充"
957,"The manager approved the allocation of additional staff.","经理批准了额外员工的分配。","resource allocation=资源分配 | budget allocation=预算分配"
958,"The report examines the distributional effects of the new policy.","报告研究了新政策的分配影响。","distributional effect=分配效应 | distributional impact=分配影响"
959,"The new system improves product traceability throughout the supply chain.","新系统提高了产品在整个供应链中的可追溯性。","product traceability=产品可追溯性 | supply-chain traceability=供应链追溯"
960,"The company uses competitive tendering for large projects.","公司对大型项目采用竞争性招标。","competitive tendering=竞争性招标 | tendering process=招标流程"
961,"The supplier must fulfill all contractual obligations.","供应商必须履行所有合同义务。","fulfill an obligation=履行义务 | fulfill an order=完成订单"
962,"The company consolidated several warehouses into one facility.","公司把几个仓库合并成一个设施。","consolidate operations=整合运营 | consolidate shipments=合并货运"
963,"The two systems must synchronize customer data automatically.","两个系统必须自动同步客户数据。","synchronize data=同步数据 | synchronize schedules=同步日程"
964,"We asked the carrier to expedite the urgent shipment.","我们要求承运商加快这批紧急货物的运输。","expedite delivery=加快配送 | expedite an order=催办订单"
965,"Road haulage costs increased because of fuel prices.","由于燃油价格上涨公路货运成本增加了。","road haulage=公路货运 | haulage cost=货运成本"
966,"The cargo requires transshipment at Singapore.","这批货需要在新加坡转运。","cargo transshipment=货物转运 | transshipment port=转运港"
967,"The shipping manifest lists every container on the vessel.","货运清单列出了船上的每个集装箱。","shipping manifest=货运清单 | cargo manifest=货物清单"
968,"The boxes were stacked safely on a wooden pallet.","箱子安全地堆放在木托盘上。","wooden pallet=木托盘 | pallet load=托盘货物"
969,"The company redesigned its packaging to reduce waste.","公司重新设计包装以减少废弃物。","product packaging=产品包装 | packaging material=包装材料"
970,"Perishable goods must be kept at a controlled temperature.","易腐商品必须在受控温度下保存。","perishable goods=易腐商品 | perishable food=易腐食品"
971,"Regular inventorying helps identify missing stock.","定期盘点有助于发现缺失库存。","inventorying process=盘点流程 | stock inventorying=库存盘点"
972,"The company outsourced part of its warehousing operation.","公司把部分仓储业务外包了。","warehousing cost=仓储成本 | warehousing service=仓储服务"
973,"The dispatching team coordinates daily deliveries.","调度团队协调每日配送。","delivery dispatching=配送调度 | dispatching system=调度系统"
974,"We need to reorder the item before stock runs low.","我们需要在库存不足前重新订购该商品。","reorder stock=重新订购库存 | reorder point=再订货点"
975,"A stockout of key parts stopped production.","关键零件缺货导致生产停止。","stockout risk=缺货风险 | avoid stockouts=避免缺货"
976,"The company made a substantial investment in new equipment.","公司对新设备进行了大量投资。","substantial increase=大幅增长 | substantial investment=大量投资"
977,"The project required a considerable amount of time.","这个项目需要相当多的时间。","considerable amount=相当大的数量 | considerable effort=大量努力"
978,"The new system produced a significant improvement in efficiency.","新系统显著提高了效率。","significant increase=显著增长 | significant difference=显著差异"
979,"The price increase had only a marginal effect on demand.","价格上涨对需求只有很小影响。","marginal increase=小幅增长 | marginal cost=边际成本"
980,"The additional cost is negligible compared with the savings.","与节省的费用相比额外成本可以忽略不计。","negligible effect=可忽略影响 | negligible amount=微小数量"
981,"The room provides adequate space for the training session.","这个房间为培训提供了足够空间。","adequate time=充足时间 | adequate resources=足够资源"
982,"The application was rejected because the information was insufficient.","申请因信息不足而被拒绝。","insufficient funds=资金不足 | insufficient information=信息不足"
983,"Excessive overtime may reduce employee productivity.","过度加班可能降低员工生产率。","excessive cost=过高成本 | excessive overtime=过度加班"
984,"The preliminary report will be available next week.","初步报告将在下周完成。","preliminary report=初步报告 | preliminary results=初步结果"
985,"Subsequent meetings focused on implementation details.","随后的会议重点讨论实施细节。","subsequent meeting=后续会议 | subsequent changes=后续变更"
986,"Sales increased for three consecutive months.","销售额连续三个月增长。","consecutive days=连续几天 | consecutive months=连续几个月"
987,"The simultaneous system updates caused a temporary slowdown.","多个系统同时更新导致暂时变慢。","simultaneous operation=同时操作 | simultaneous release=同步发布"
988,"Prospective employees can apply through the company website.","潜在员工可以通过公司网站申请。","prospective customer=潜在客户 | prospective employee=潜在员工"
989,"The team conducted a retrospective review after the project ended.","项目结束后团队进行了回顾性审查。","retrospective review=回顾审查 | retrospective analysis=回顾分析"
990,"The prevailing market conditions remain uncertain.","当前市场状况仍不确定。","prevailing conditions=当前状况 | prevailing price=现行价格"
991,"The audit identified the underlying cause of the accounting error.","审计发现了会计错误的根本原因。","underlying cause=根本原因 | underlying issue=潜在问题"
992,"Overall sales performance improved this quarter.","本季度整体销售表现有所改善。","overall performance=整体表现 | overall cost=总体成本"
993,"The two companies ended the dispute by mutual agreement.","两家公司通过双方协议结束了争议。","mutual agreement=双方协议 | mutual benefit=互惠利益"
994,"The managers returned to their respective departments.","经理们回到了各自的部门。","respective roles=各自的职责 | respective departments=各自部门"
995,"We received several questions concerning the new policy.","我们收到了几个关于新政策的问题。","concerning the matter=关于此事 | concerning your request=关于你的请求"
996,"Notwithstanding the delay the project was completed within budget.","尽管发生延误，该项目仍在预算内完成。","notwithstanding the above=尽管上述内容 | notwithstanding any provision=尽管有任何条款"
997,"The contract was signed on Monday and took effect shortly thereafter.","合同星期一签署，此后不久生效。","shortly thereafter=此后不久 | immediately thereafter=紧接其后"
998,"We hereby confirm receipt of your payment.","我们特此确认收到你的付款。","hereby confirm=特此确认 | hereby agree=特此同意"
999,"The delivery date changed and the schedule was adjusted accordingly.","送货日期发生变化，因此日程也相应调整。","act accordingly=相应处理 | adjust accordingly=相应调整"
1000,"The first proposal reduces cost whereas the second focuses on quality.","第一个方案降低成本，而第二个方案侧重质量。","whereas the other=而另一个 | whereas previously=而此前"
