id,example,exampleTranslation,collocations
851,"The project scope includes testing and documentation.","项目范围包括测试和文档编写。","project scope=项目范围 | within scope=在范围内"
852,"The final deliverable is due at the end of the month.","最终交付成果月底到期。","project deliverable=项目交付成果 | final deliverable=最终交付成果"
853,"The new software simplified the approval workflow.","新软件简化了审批流程。","approval workflow=审批流程 | workflow process=工作流程"
854,"The team is working through a backlog of customer requests.","团队正在处理积压的客户请求。","work backlog=工作积压 | clear a backlog=清理积压"
855,"The manual approval step became a bottleneck.","人工审批步骤成了瓶颈。","production bottleneck=生产瓶颈 | remove a bottleneck=消除瓶颈"
856,"The schedule shows a dependency between the two tasks.","日程显示这两个任务之间存在依赖关系。","task dependency=任务依赖 | dependency on=对…的依赖"
857,"The second iteration includes feedback from users.","第二次迭代包含了用户反馈。","development iteration=开发迭代 | next iteration=下一次迭代"
858,"The deployment of the new system is scheduled for Friday.","新系统计划星期五部署。","system deployment=系统部署 | deployment schedule=部署日程"
859,"The nationwide rollout will begin next month.","全国推广将于下个月开始。","product rollout=产品推出 | phased rollout=分阶段推出"
860,"The company streamlined its purchasing process.","公司精简了采购流程。","streamline a process=精简流程 | streamline operations=提高运营效率"
861,"Engineers optimized the system to reduce processing time.","工程师优化了系统以减少处理时间。","optimize performance=优化性能 | optimize a process=优化流程"
862,"Managers must prioritize urgent customer requests.","经理必须优先处理紧急客户请求。","prioritize tasks=确定任务优先级 | prioritize customer needs=优先考虑客户需求"
863,"The new platform facilitates communication between teams.","新平台促进了团队之间的沟通。","facilitate communication=促进沟通 | facilitate a meeting=协助会议"
864,"A senior manager will oversee the project.","一位高级经理将监督该项目。","oversee operations=监督运营 | oversee a project=监督项目"
865,"The team executed the plan without delay.","团队毫不拖延地执行了计划。","execute a plan=执行计划 | execute a strategy=执行战略"
866,"The company will undertake a full system review.","公司将着手进行全面系统审查。","undertake a project=承担项目 | undertake a review=开展审查"
867,"We accomplished all major goals for the quarter.","我们完成了本季度所有主要目标。","accomplish a task=完成任务 | accomplish a goal=实现目标"
868,"The audit found a small deviation from the standard procedure.","审计发现与标准流程存在小幅偏差。","deviation from=偏离 | schedule deviation=进度偏差"
869,"The power failure caused a major disruption to operations.","停电对运营造成了严重中断。","service disruption=服务中断 | business disruption=业务中断"
870,"The backup system helps ensure business continuity.","备份系统有助于确保业务连续性。","business continuity=业务连续性 | continuity plan=连续性计划"
871,"The new platform was designed for long-term scalability.","新平台是为长期可扩展性而设计的。","system scalability=系统可扩展性 | improve scalability=提高可扩展性"
872,"The company published a report on environmental sustainability.","公司发布了一份环境可持续性报告。","environmental sustainability=环境可持续性 | sustainability goals=可持续发展目标"
873,"System redundancy reduces the risk of service interruption.","系统冗余可以降低服务中断风险。","system redundancy=系统冗余 | redundancy plan=冗余方案"
874,"The factory improved equipment utilization this year.","工厂今年提高了设备利用率。","resource utilization=资源利用率 | capacity utilization=产能利用率"
875,"The new machine increased production throughput.","新机器提高了生产吞吐量。","system throughput=系统吞吐量 | production throughput=生产产出量"
876,"Each applicant must submit a resume and cover letter.","每位申请人都必须提交简历和求职信。","job applicant=求职申请人 | successful applicant=录取申请人"
877,"The company improved its onboarding process for new employees.","公司改进了新员工入职流程。","employee onboarding=员工入职 | onboarding process=入职流程"
878,"New hires attend a two-day orientation program.","新员工参加为期两天的入职培训。","employee orientation=员工入职培训 | orientation session=入职说明会"
879,"The employee is still within the three-month probation period.","该员工仍处于三个月试用期内。","probation period=试用期 | on probation=处于试用期"
880,"The company offers opportunities for career advancement.","公司提供职业晋升机会。","career advancement=职业晋升 | advancement opportunity=晋升机会"
881,"The manager discussed the reasons for the employee's demotion.","经理说明了该员工降职的原因。","job demotion=职位降级 | face demotion=面临降职"
882,"The annual appraisal includes goals for the next year.","年度绩效评估包含下一年的目标。","performance appraisal=绩效评估 | annual appraisal=年度考核"
883,"The company offers a bonus as an incentive for high performance.","公司以奖金作为高绩效的激励。","financial incentive=经济激励 | incentive program=激励计划"
884,"Employees who meet their targets receive a year-end bonus.","完成目标的员工可以获得年终奖金。","annual bonus=年度奖金 | performance bonus=绩效奖金"
885,"Employees receive a monthly transportation allowance.","员工每月领取交通津贴。","travel allowance=差旅津贴 | housing allowance=住房津贴"
886,"The pension plan is available to full-time employees.","养老金计划适用于全职员工。","pension plan=养老金计划 | pension fund=养老基金"
887,"The company offered severance pay to affected employees.","公司向受影响员工提供了离职补偿。","severance pay=离职补偿 | severance package=离职补偿方案"
888,"Tenants must vacate the building before renovation begins.","装修开始前租户必须腾出大楼。","vacate a building=腾出建筑 | vacate a position=离开职位"
889,"The company introduced flexible hours to retain experienced staff.","公司引入弹性工作时间以留住有经验的员工。","retain employees=留住员工 | retain customers=留住客户"
890,"Flexible working arrangements improved employee retention.","灵活工作安排提高了员工留任率。","employee retention=员工留任 | customer retention=客户留存"
891,"The manager uses clear goals to motivate the team.","经理通过明确目标激励团队。","motivate employees=激励员工 | motivate a team=激励团队"
892,"Employee morale improved after the announcement.","公告后员工士气有所提高。","boost morale=提高士气 | staff morale=员工士气"
893,"The company values diversity in its workforce.","公司重视员工队伍的多样性。","workforce diversity=员工多样性 | cultural diversity=文化多样性"
894,"The training promotes inclusion in the workplace.","培训促进工作场所的包容性。","workplace inclusion=职场包容 | promote inclusion=促进包容"
895,"The company has a strict policy against workplace harassment.","公司对职场骚扰有严格规定。","workplace harassment=职场骚扰 | harassment complaint=骚扰投诉"
896,"Employees may file a grievance through the HR department.","员工可以通过人事部门提出申诉。","file a grievance=提出申诉 | employee grievance=员工不满"
897,"The company began disciplinary action after the investigation.","调查后公司开始采取纪律处分。","disciplinary action=纪律处分 | disciplinary procedure=纪律程序"
898,"The employee appealed against the dismissal.","该员工对解雇提出了申诉。","unfair dismissal=不当解雇 | employee dismissal=员工解雇"
899,"Several positions became redundant after the restructuring.","重组后几个职位变得多余。","redundant position=冗余职位 | make someone redundant=裁员"
900,"The company plans to expand its workforce next year.","公司计划明年扩大员工队伍。","skilled workforce=熟练劳动力 | global workforce=全球员工队伍"
901,"The marketing team uses analytics to measure campaign performance.","营销团队使用数据分析衡量活动效果。","data analytics=数据分析 | web analytics=网站分析"
902,"The recommendation algorithm suggests products to customers.","推荐算法会向顾客推荐产品。","search algorithm=搜索算法 | machine-learning algorithm=机器学习算法"
903,"Automation reduced the time needed to process orders.","自动化减少了处理订单所需时间。","process automation=流程自动化 | office automation=办公自动化"
904,"The integration of the two systems took several weeks.","两个系统的集成用了几周时间。","system integration=系统集成 | data integration=数据集成"
905,"The new user interface is easier to use.","新的用户界面更容易使用。","user interface=用户界面 | system interface=系统接口"
906,"Please check the server configuration before deployment.","部署前请检查服务器配置。","system configuration=系统配置 | configuration file=配置文件"
907,"Two-factor authentication is required for remote access.","远程访问需要双因素身份验证。","user authentication=用户验证 | two-factor authentication=双因素认证"
908,"The system uses encryption to protect customer data.","系统使用加密保护客户数据。","data encryption=数据加密 | encryption key=加密密钥"
909,"The company increased its cybersecurity budget.","公司提高了网络安全预算。","cybersecurity risk=网络安全风险 | cybersecurity policy=网络安全政策"
910,"The update fixes a serious security vulnerability.","更新修复了一个严重安全漏洞。","security vulnerability=安全漏洞 | system vulnerability=系统脆弱性"
911,"Video meetings require enough network bandwidth.","视频会议需要足够的网络带宽。","network bandwidth=网络带宽 | bandwidth limit=带宽限制"
912,"The new server reduced network latency.","新服务器降低了网络延迟。","network latency=网络延迟 | low latency=低延迟"
