id,example,exampleTranslation,collocations
751,"The board will meet in the boardroom at nine.","董事会将在九点于董事会议室开会。","boardroom meeting=董事会议 | executive boardroom=高管会议室"
752,"The chairperson opened the annual meeting.","主席主持召开了年度会议。","board chairperson=董事会主席 | meeting chairperson=会议主席"
753,"The project affects employees customers and other stakeholders.","该项目会影响员工、客户及其他利益相关者。","key stakeholder=关键利益相关者 | stakeholder interests=利益相关者利益"
754,"Good corporate governance improves accountability.","良好的公司治理可以提高问责性。","corporate governance=公司治理 | governance structure=治理结构"
755,"The merger created one of the largest companies in the industry.","这次合并产生了业内最大的公司之一。","company merger=公司合并 | merger agreement=合并协议"
756,"The acquisition was completed at the end of June.","收购在六月底完成。","business acquisition=企业收购 | acquisition cost=收购成本"
757,"The subsidiary reports its results to the parent company.","子公司向母公司报告业绩。","wholly owned subsidiary=全资子公司 | foreign subsidiary=海外子公司"
758,"The local affiliate provides sales support in the region.","当地关联公司在该地区提供销售支持。","affiliate company=关联公司 | affiliated with=隶属于"
759,"The company's headquarters are located in Tokyo.","公司总部位于东京。","corporate headquarters=公司总部 | headquarters office=总部办公室"
760,"The bank opened a new branch near the station.","银行在车站附近开了一家新分行。","local branch=当地分行 | branch office=分公司"
761,"The corporation employs more than five thousand people.","这家公司雇用了5000多名员工。","large corporation=大型企业 | multinational corporation=跨国公司"
762,"The enterprise expanded into three new markets.","该企业拓展到了三个新市场。","business enterprise=商业企业 | private enterprise=私营企业"
763,"The two firms formed a strategic partnership.","两家公司建立了战略合作关系。","business partnership=商业合作关系 | strategic partnership=战略合作"
764,"A consortium of banks financed the project.","一个银行联合体为该项目提供了融资。","banking consortium=银行财团 | international consortium=国际联合体"
765,"The restructuring reduced management costs.","重组降低了管理成本。","corporate restructuring=企业重组 | restructuring plan=重组计划"
766,"Product diversification helped reduce business risk.","产品多元化有助于降低经营风险。","business diversification=业务多元化 | diversification strategy=多元化战略"
767,"The consolidation of two offices saved money.","两个办公室的整合节省了成本。","business consolidation=业务整合 | debt consolidation=债务整合"
768,"The merger is expected to create significant synergy.","预计此次合并将产生显著协同效应。","create synergy=产生协同效应 | operational synergy=运营协同"
769,"The company has a clear management hierarchy.","公司拥有明确的管理层级。","management hierarchy=管理层级 | organizational hierarchy=组织层级"
770,"The contract is governed by the jurisdiction of Japan.","该合同受日本司法管辖。","legal jurisdiction=司法管辖权 | within the jurisdiction=在管辖范围内"
771,"The company plans to incorporate the feedback into the final design.","公司计划把反馈纳入最终设计。","incorporate feedback=纳入反馈 | incorporate a company=注册成立公司"
772,"The board voted to dissolve the subsidiary.","董事会投票决定解散子公司。","dissolve a company=解散公司 | dissolve a partnership=解散合伙关系"
773,"The board appointed a new chief executive officer.","董事会任命了一位新的首席执行官。","appoint a director=任命董事 | appoint someone as=任命某人为"
774,"Shareholders may nominate candidates for the board.","股东可以提名董事会候选人。","nominate a candidate=提名候选人 | nominate someone for=提名某人担任"
775,"The company has a succession plan for senior management.","公司为高级管理层制定了继任计划。","succession plan=继任计划 | management succession=管理层继任"
776,"The accountant recorded the transaction in the general ledger.","会计把这笔交易记录在总账中。","general ledger=总账 | ledger account=分类账账户"
777,"Accounts receivable increased during the quarter.","本季度应收账款增加了。","accounts receivable=应收账款 | receivable balance=应收余额"
778,"Accounts payable must be reviewed before payment.","应付账款必须在付款前核对。","accounts payable=应付账款 | payable amount=应付金额"
779,"The company records depreciation on its equipment each year.","公司每年对设备计提折旧。","annual depreciation=年度折旧 | depreciation expense=折旧费用"
780,"The software cost is recognized through amortization.","软件成本通过摊销确认。","amortization expense=摊销费用 | annual amortization=年度摊销"
781,"The company keeps enough cash to maintain liquidity.","公司保留足够现金以维持流动性。","market liquidity=市场流动性 | improve liquidity=改善流动性"
782,"The bank evaluates the borrower's solvency before lending.","银行在放贷前评估借款人的偿付能力。","financial solvency=财务偿付能力 | solvency ratio=偿付能力比率"
783,"Shareholders' equity increased after the profitable year.","盈利年度结束后股东权益增加了。","shareholders' equity=股东权益 | equity investment=股权投资"
784,"The fund manager diversified the investment portfolio.","基金经理分散了投资组合。","investment portfolio=投资组合 | product portfolio=产品组合"
785,"The investor opened an account with a brokerage firm.","投资者在一家经纪公司开设了账户。","brokerage firm=经纪公司 | brokerage fee=经纪费"
786,"The company issued a five-year bond to raise capital.","公司发行五年期债券筹集资本。","corporate bond=公司债券 | bond market=债券市场"
787,"They applied for a mortgage to purchase the building.","他们申请了抵押贷款购买这栋楼。","mortgage loan=抵押贷款 | mortgage payment=房贷还款"
788,"The bank required the property as collateral.","银行要求以该房产作为抵押品。","provide collateral=提供抵押品 | collateral value=抵押品价值"
