id,word,phonetic,partOfSpeech,meaning,level,topic
851,scope,/skoʊp/,n.,范围,700,Project & Operations
852,deliverable,/dɪˈlɪvərəbəl/,n.,可交付成果,700,Project & Operations
853,workflow,/ˈwɝːkfloʊ/,n.,工作流程,700,Project & Operations
854,backlog,/ˈbæklɔːɡ/,n.,积压工作,700,Project & Operations
855,bottleneck,/ˈbɑːtlnek/,n.,瓶颈,700,Project & Operations
856,dependency,/dɪˈpendənsi/,n.,依赖关系,700,Project & Operations
857,iteration,/ˌɪtəˈreɪʃən/,n.,迭代,700,Project & Operations
858,deployment,/dɪˈplɔɪmənt/,n.,部署,700,Project & Operations
859,rollout,/ˈroʊlaʊt/,n.,推出；部署,700,Project & Operations
860,streamline,/ˈstriːmlaɪn/,v.,精简；提高效率,700,Project & Operations
861,optimize,/ˈɑːptəmaɪz/,v.,优化,700,Project & Operations
862,prioritize,/praɪˈɔːrətaɪz/,v.,按优先级排序,700,Project & Operations
863,facilitate,/fəˈsɪləteɪt/,v.,促进；协助,700,Project & Operations
864,oversee,/ˌoʊvərˈsiː/,v.,监督,700,Project & Operations
865,execute,/ˈeksəkjuːt/,v.,执行,700,Project & Operations
866,undertake,/ˌʌndərˈteɪk/,v.,承担；着手,700,Project & Operations
867,accomplish,/əˈkɑːmplɪʃ/,v.,完成；实现,700,Project & Operations
868,deviation,/ˌdiːviˈeɪʃən/,n.,偏差,700,Project & Operations
869,disruption,/dɪsˈrʌpʃən/,n.,中断；扰乱,700,Project & Operations
870,continuity,/ˌkɑːntəˈnuːəti/,n.,连续性,700,Project & Operations
871,scalability,/ˌskeɪləˈbɪləti/,n.,可扩展性,700,Project & Operations
872,sustainability,/səˌsteɪnəˈbɪləti/,n.,可持续性,700,Project & Operations
873,redundancy,/rɪˈdʌndənsi/,n.,冗余；裁员,700,Project & Operations
874,utilization,/ˌjuːtələˈzeɪʃən/,n.,利用率,700,Project & Operations
875,throughput,/ˈθruːpʊt/,n.,吞吐量；产出量,700,Project & Operations
876,applicant,/ˈæplɪkənt/,n.,申请人,700,Human Resources Advanced
877,onboarding,/ˈɑːnˌbɔːrdɪŋ/,n.,入职流程,700,Human Resources Advanced
878,orientation,/ˌɔːriənˈteɪʃən/,n.,入职培训；方向,700,Human Resources Advanced
879,probation,/proʊˈbeɪʃən/,n.,试用期,700,Human Resources Advanced
880,advancement,/ədˈvænsmənt/,n.,晋升；进步,700,Human Resources Advanced
881,demotion,/dɪˈmoʊʃən/,n.,降职,700,Human Resources Advanced
882,appraisal,/əˈpreɪzəl/,n.,绩效评估,700,Human Resources Advanced
883,incentive,/ɪnˈsentɪv/,n.,激励；奖金,700,Human Resources Advanced
884,bonus,/ˈboʊnəs/,n.,奖金,700,Human Resources Advanced
885,allowance,/əˈlaʊəns/,n.,津贴,700,Human Resources Advanced
886,pension,/ˈpenʃən/,n.,养老金,700,Human Resources Advanced
887,severance,/ˈsevərəns/,n.,离职补偿,700,Human Resources Advanced
888,vacate,/ˈveɪkeɪt/,v.,腾出；离职,700,Human Resources Advanced
889,retain,/rɪˈteɪn/,v.,留住；保留,700,Human Resources Advanced
890,retention,/rɪˈtenʃən/,n.,员工留任；保留,700,Human Resources Advanced
891,motivate,/ˈmoʊtəveɪt/,v.,激励,700,Human Resources Advanced
892,morale,/məˈræl/,n.,士气,700,Human Resources Advanced
893,diversity,/daɪˈvɝːsəti/,n.,多样性,700,Human Resources Advanced
894,inclusion,/ɪnˈkluːʒən/,n.,包容,700,Human Resources Advanced
895,harassment,/həˈræsmənt/,n.,骚扰,700,Human Resources Advanced
896,grievance,/ˈɡriːvəns/,n.,申诉；不满,700,Human Resources Advanced
897,disciplinary,/ˈdɪsəpləneri/,adj.,纪律处分的,700,Human Resources Advanced
898,dismissal,/dɪsˈmɪsəl/,n.,解雇,700,Human Resources Advanced
899,redundant,/rɪˈdʌndənt/,adj.,多余的；被裁员的,700,Human Resources Advanced
900,workforce,/ˈwɝːkfɔːrs/,n.,劳动力；全体员工,700,Human Resources Advanced
901,analytics,/ˌænəˈlɪtɪks/,n.,数据分析,700,Technology & Data
902,algorithm,/ˈælɡərɪðəm/,n.,算法,700,Technology & Data
903,automation,/ˌɔːtəˈmeɪʃən/,n.,自动化,700,Technology & Data
904,integration,/ˌɪntəˈɡreɪʃən/,n.,集成,700,Technology & Data
905,interface,/ˈɪntərfeɪs/,n.,接口；界面,700,Technology & Data
906,configuration,/kənˌfɪɡjəˈreɪʃən/,n.,配置,700,Technology & Data
907,authentication,/ɔːˌθentəˈkeɪʃən/,n.,身份验证,700,Technology & Data
908,encryption,/ɪnˈkrɪpʃən/,n.,加密,700,Technology & Data
909,cybersecurity,/ˈsaɪbərsɪˌkjʊrəti/,n.,网络安全,700,Technology & Data
910,vulnerability,/ˌvʌlnərəˈbɪləti/,n.,漏洞；脆弱性,700,Technology & Data
911,bandwidth,/ˈbændwɪdθ/,n.,带宽,700,Technology & Data
912,latency,/ˈleɪtənsi/,n.,延迟,700,Technology & Data
913,repository,/rɪˈpɑːzətɔːri/,n.,存储库；资料库,700,Technology & Data
914,cloud,/klaʊd/,n.,云；云服务,700,Technology & Data
915,infrastructure,/ˈɪnfrəˌstrʌktʃər/,n.,基础设施,700,Technology & Data
916,migration,/maɪˈɡreɪʃən/,n.,迁移,700,Technology & Data
